Location Code,92064,Temperature Units,FAHRENHEIT,Depth Units,INCHES
Month,Day,Low Temperature,Mean Temperature,High Temperature,Rainfall
1,1,37,54,70,0.1
1,2,37,54,70,0.1
1,3,38,54,70,0.1
1,4,38,54,70,0.1
1,5,38,54,70,0.1
1,6,38,54,70,0.1
1,7,38,54,70,0.1
1,8,38,54,69,0.1
1,9,38,54,69,0.1
1,10,38,54,69,0.1
1,11,38,54,70,0.1
1,12,39,54,70,0.1
1,13,39,54,70,0.1
1,14,39,54,70,0.1
1,15,39,54,70,0.1
1,16,39,54,70,0.1
1,17,39,54,70,0.1
1,18,39,54,70,0.1
1,19,39,54,70,0.1
1,20,39,55,70,0.1
1,21,39,55,70,0.1
1,22,39,55,70,0.1
1,23,39,55,70,0.1
1,24,39,55,70,0.1
1,25,40,55,70,0.1
1,26,40,55,70,0.1
1,27,40,55,70,0.1
1,28,40,55,70,0.1
1,29,40,55,70,0.1
1,30,40,55,70,0.1
1,31,40,55,70,0.1
2,1,40,55,71,0.1
2,2,40,55,71,0.1
2,3,40,56,71,0.1
2,4,40,56,71,0.1
2,5,40,56,71,0.1
2,6,40,56,71,0.1
2,7,40,56,71,0.1
2,8,40,56,71,0.1
2,9,40,56,71,0.1
2,10,41,56,71,0.1
2,11,41,56,71,0.1
2,12,41,56,71,0.1
2,13,41,56,71,0.1
2,14,41,56,71,0.1
2,15,41,56,71,0.1
2,16,41,32,72,0.1
2,17,41,32,72,0.1
2,18,41,32,72,0.1
2,19,41,32,71,0.1
2,20,41,32,71,0.1
2,21,41,32,71,0.1
2,22,41,32,71,0.1
2,23,42,32,71,0.1
2,24,42,32,71,0.1
2,25,42,32,71,0.1
2,26,42,32,71,0.1
2,27,42,32,71,0.1
2,28,42,32,71,0.1
3,1,42,56,71,0.1
3,2,42,56,71,0.1
3,3,42,56,71,0.1
3,4,42,56,71,0.1
3,5,42,57,71,0.1
3,6,42,57,71,0.1
3,7,42,57,71,0.1
3,8,43,57,71,0.1
3,9,43,57,71,0.1
3,10,43,57,71,0.1
3,11,43,57,71,0.1
3,12,43,57,71,0.1
3,13,43,57,71,0.1
3,14,43,57,71,0.1
3,15,43,57,71,0.1
3,16,43,57,71,0.1
3,17,43,57,71,0.1
3,18,43,57,71,0.1
3,19,43,57,71,0.1
3,20,43,57,71,0.1
3,21,43,58,72,0.1
3,22,44,58,72,0.1
3,23,44,58,72,0.1
3,24,44,58,72,0.1
3,25,44,58,72,0.1
3,26,44,58,72,0.1
3,27,44,58,73,0.1
3,28,44,58,73,0.1
3,29,44,58,73,0.1
3,30,44,59,73,0.1
3,31,44,59,73,0.1
4,1,44,59,74,0.03
4,2,44,59,74,0.03
4,3,44,59,74,0.03
4,4,44,59,74,0.03
4,5,44,59,74,0.03
4,6,44,59,75,0.03
4,7,44,60,75,0.03
4,8,44,60,75,0.03
4,9,45,60,75,0.03
4,10,45,60,75,0.03
4,11,45,60,75,0.03
4,12,45,60,76,0.03
4,13,45,60,76,0.03
4,14,45,61,76,0.03
4,15,45,61,76,0.03
4,16,45,61,76,0.03
4,17,46,61,76,0.03
4,18,46,61,76,0.03
4,19,46,61,76,0.03
4,20,46,61,76,0.03
4,21,46,61,77,0.03
4,22,46,62,77,0.03
4,23,46,62,77,0.03
4,24,47,62,77,0.03
4,25,47,62,77,0.03
4,26,47,62,77,0.03
4,27,47,62,77,0.03
4,28,47,62,77,0.03
4,29,48,62,77,0.03
4,30,48,63,77,0.03
5,1,48,63,77,0.01
5,2,48,63,77,0.01
5,3,48,63,77,0.01
5,4,49,63,77,0.01
5,5,49,63,77,0.01
5,6,49,63,77,0.01
5,7,49,63,78,0.01
5,8,49,64,78,0.01
5,9,50,64,78,0.01
5,10,50,64,78,0.01
5,11,50,64,78,0.01
5,12,50,64,78,0.01
5,13,50,64,78,0.01
5,14,51,64,78,0.01
5,15,51,65,78,0.01
5,16,51,65,79,0.01
5,17,51,65,79,0.01
5,18,51,65,79,0.01
5,19,51,65,79,0.01
5,20,51,65,79,0.01
5,21,52,66,79,0.01
5,22,52,66,80,0.01
5,23,52,66,80,0.01
5,24,52,66,80,0.01
5,25,52,66,80,0.01
5,26,52,66,80,0.01
5,27,52,66,81,0.01
5,28,53,67,81,0.01
5,29,53,67,81,0.01
5,30,53,67,81,0.01
5,31,53,67,81,0.01
6,1,53,67,82,0
6,2,53,68,82,0
6,3,53,68,82,0
6,4,53,68,82,0
6,5,53,68,83,0
6,6,53,68,83,0
6,7,54,68,83,0
6,8,54,69,83,0
6,9,54,69,84,0
6,10,54,69,84,0
6,11,54,69,84,0
6,12,54,69,84,0
6,13,54,69,85,0
6,14,54,70,85,0
6,15,55,70,85,0
6,16,55,70,85,0
6,17,55,70,86,0
6,18,55,70,86,0
6,19,55,71,86,0
6,20,55,71,86,0
6,21,55,71,86,0
6,22,55,71,87,0
6,23,56,71,87,0
6,24,56,71,87,0
6,25,56,72,87,0
6,26,56,72,87,0
6,27,56,72,88,0
6,28,56,72,88,0
6,29,56,72,88,0
6,30,56,72,88,0
7,1,57,73,88,0
7,2,57,73,89,0
7,3,57,73,89,0
7,4,57,73,89,0
7,5,57,73,89,0
7,6,57,73,89,0
7,7,57,73,89,0
7,8,57,74,90,0
7,9,58,74,90,0
7,10,58,74,90,0
7,11,58,74,90,0
7,12,58,74,90,0
7,13,58,74,90,0
7,14,58,74,90,0
7,15,58,74,90,0
7,16,58,74,91,0
7,17,58,75,91,0
7,18,59,75,91,0
7,19,59,75,91,0
7,20,59,75,91,0
7,21,59,75,91,0
7,22,59,75,91,0
7,23,59,75,91,0
7,24,59,75,91,0
7,25,59,75,91,0
7,26,59,75,91,0
7,27,59,75,91,0
7,28,59,75,92,0
7,29,59,75,92,0
7,30,59,75,92,0
7,31,59,76,92,0
8,1,59,75,91,0
8,2,59,75,92,0
8,3,59,75,92,0
8,4,59,76,92,0
8,5,60,76,92,0
8,6,60,76,92,0
8,7,60,76,92,0
8,8,60,76,92,0
8,9,60,76,92,0
8,10,60,76,92,0
8,11,60,76,92,0
8,12,60,76,92,0
8,13,60,76,92,0
8,14,60,76,92,0
8,15,60,76,92,0
8,16,60,76,92,0
8,17,60,76,92,0
8,18,60,76,92,0
8,19,60,76,92,0
8,20,60,76,92,0
8,21,59,76,92,0
8,22,59,76,92,0
8,23,59,75,92,0
8,24,59,75,91,0
8,25,59,75,91,0
8,26,59,75,91,0
8,27,59,75,91,0
8,28,59,75,91,0
8,29,59,75,91,0
8,30,59,75,91,0
8,31,59,75,91,0
9,1,59,75,91,0.01
9,2,59,75,91,0.01
9,3,59,75,91,0.01
9,4,59,75,91,0.01
9,5,59,75,91,0.01
9,6,59,75,91,0.01
9,7,58,75,91,0.01
9,8,58,75,91,0.01
9,9,58,75,91,0.01
9,10,58,74,91,0.01
9,11,58,74,91,0.01
9,12,58,74,91,0.01
9,13,58,74,90,0.01
9,14,58,74,90,0.01
9,15,57,74,90,0.01
9,16,57,74,90,0.01
9,17,57,74,90,0.01
9,18,57,73,90,0.01
9,19,57,73,90,0.01
9,20,57,73,89,0.01
9,21,56,73,89,0.01
9,22,56,73,89,0.01
9,23,56,72,89,0.01
9,24,56,72,89,0.01
9,25,56,72,88,0.01
9,26,56,72,88,0.01
9,27,55,72,88,0.01
9,28,55,71,88,0.01
9,29,55,71,88,0.01
9,30,55,71,87,0.01
10,1,54,71,87,0.02
10,2,54,71,87,0.02
10,3,54,70,87,0.02
10,4,54,70,86,0.02
10,5,54,70,86,0.02
10,6,53,70,86,0.02
10,7,53,69,86,0.02
10,8,53,69,85,0.02
10,9,53,69,85,0.02
10,10,52,69,85,0.02
10,11,52,68,85,0.02
10,12,52,68,84,0.02
10,13,51,68,84,0.02
10,14,51,67,84,0.02
10,15,51,67,84,0.02
10,16,51,67,83,0.02
10,17,50,67,83,0.02
10,18,50,66,83,0.02
10,19,50,66,83,0.02
10,20,49,66,82,0.02
10,21,49,66,82,0.02
10,22,49,65,82,0.02
10,23,48,65,82,0.02
10,24,48,65,81,0.02
10,25,48,64,81,0.02
10,26,47,64,81,0.02
10,27,47,64,81,0.02
10,28,47,64,80,0.02
10,29,46,63,80,0.02
10,30,46,63,80,0.02
10,31,46,63,80,0.02
11,1,45,62,79,0.04
11,2,45,62,79,0.04
11,3,45,62,79,0.04
11,4,44,62,79,0.04
11,5,44,61,79,0.04
11,6,44,61,78,0.04
11,7,44,61,78,0.04
11,8,43,61,78,0.04
11,9,43,60,78,0.04
11,10,43,60,77,0.04
11,11,42,60,77,0.04
11,12,42,59,77,0.04
11,13,42,59,77,0.04
11,14,41,59,76,0.04
11,15,41,59,76,0.04
11,16,41,59,76,0.04
11,17,41,58,76,0.04
11,18,40,58,76,0.04
11,19,40,58,75,0.04
11,20,40,58,75,0.04
11,21,40,57,75,0.04
11,22,40,57,75,0.04
11,23,39,57,75,0.04
11,24,39,57,74,0.04
11,25,39,57,74,0.04
11,26,39,56,74,0.04
11,27,39,56,74,0.04
11,28,38,56,74,0.04
11,29,38,56,73,0.04
11,30,38,56,73,0.04
12,1,38,56,73,0.05
12,2,38,55,73,0.05
12,3,38,55,73,0.05
12,4,37,55,73,0.05
12,5,37,55,72,0.05
12,6,37,55,72,0.05
12,7,37,55,72,0.05
12,8,37,54,72,0.05
12,9,37,54,72,0.05
12,10,37,54,72,0.05
12,11,37,54,71,0.05
12,12,37,54,71,0.05
12,13,37,54,71,0.05
12,14,37,54,71,0.05
12,15,37,54,71,0.05
12,16,36,54,71,0.05
12,17,36,54,71,0.05
12,18,36,54,71,0.05
12,19,36,54,71,0.05
12,20,36,54,71,0.05
12,21,36,53,70,0.05
12,22,37,53,70,0.05
12,23,37,53,70,0.05
12,24,37,53,70,0.05
12,25,37,53,70,0.05
12,26,37,53,70,0.05
12,27,37,53,70,0.05
12,28,37,53,70,0.05
12,29,37,54,70,0.05
12,30,37,54,70,0.05
12,31,37,54,70,0.05
